"padj","gene","symbol","rank","rank_change"
1.33191082365877e-62,"ENSG00000163464","CXCR1",1,0
2.83830926100283e-58,"ENSG00000162747","FCGR3B",2,1
3.57355141398435e-39,"ENSG00000157551","KCNJ15",3,4
6.0078354784797e-32,"ENSG00000236438","FAM157A",4,5
7.95966811704023e-31,"ENSG00000148346","LCN2",5,19
1.27662211026845e-29,"ENSG00000135083","CCNJL",6,11
3.2886397329672e-29,"ENSG00000184106","TREML3P",7,11
2.86617997930191e-28,"ENSG00000198858","R3HDM4",8,13
2.74688326323054e-26,"ENSG00000143632","ACTA1",9,101
8.20034502843424e-26,"ENSG00000204936","CD177",10,22
2.18862739289544e-25,"ENSG00000126262","FFAR2",11,31
4.0554488309443e-24,"ENSG00000226608","FTLP3",12,812
5.32650270631705e-23,"ENSG00000157404","KIT",13,20
1.55082224102097e-21,"ENSG00000105701","FKBP8",14,34
1.60550587246929e-21,"ENSG00000113389","NPR3",15,22
4.09089040460972e-20,"ENSG00000173535","TNFRSF10C",16,31
9.54990441020369e-20,"ENSG00000090238","YPEL3",17,27
2.04189273238693e-19,"ENSG00000129355","CDKN2D",18,37
2.04189273238693e-19,"ENSG00000151651","ADAM8",19,46
2.09528149236931e-19,"ENSG00000100453","GZMB",20,75
2.1292185750984e-19,"ENSG00000099804","CDC34",21,37
3.94755365191433e-19,"ENSG00000196091","MYBPC1",22,260
4.34357460126445e-19,"ENSG00000198125","MB",23,76
2.31064097219045e-18,"ENSG00000204160","ZDHHC18",24,46
1.77799438369441e-17,"ENSG00000108244","KRT23",25,27
2.27542794553201e-17,"ENSG00000111245","MYL2",26,189
2.66756845902092e-17,"ENSG00000162366","PDZK1IP1",27,115
2.80570362174391e-17,"ENSG00000159346","ADIPOR1",28,64
5.88688951836698e-17,"ENSG00000092054","MYH7",29,132
1.30221926642906e-16,"ENSG00000124102","PI3",30,86
1.32361205106253e-16,"ENSG00000171502","COL24A1",31,23
1.32361205106253e-16,"ENSG00000234975","FTH1P2",32,1372
1.45521452962935e-16,"ENSG00000232187","FTH1P7",33,1357
1.57717434735541e-16,"ENSG00000180871","CXCR2",34,60
2.30879667261522e-16,"ENSG00000008516","MMP25",35,53
4.24774305841386e-16,"ENSG00000103569","AQP9",36,138
5.00919645658025e-16,"ENSG00000229314","ORM1",37,81
5.76676068945517e-16,"ENSG00000151726","ACSL1",38,120
5.76676068945517e-16,"ENSG00000274173","AL035661.1",39,91
1.15284147977882e-15,"ENSG00000087086","FTL",40,93
1.40773578353088e-15,"ENSG00000115590","IL1R2",41,156
1.41016394864755e-15,"ENSG00000140932","CMTM2",42,147
2.37796502580906e-15,"ENSG00000122778","KIAA1549",43,64
2.37796502580906e-15,"ENSG00000129353","SLC44A2",44,24
2.71842736387619e-15,"ENSG00000007062","PROM1",45,150
2.71842736387619e-15,"ENSG00000173110","HSPA6",46,182
3.89282374123257e-15,"ENSG00000185201","IFITM2",47,90
4.69461263688614e-15,"ENSG00000086506","HBQ1",48,26
4.69461263688614e-15,"ENSG00000114626","ABTB1",49,121
5.44343111528713e-15,"ENSG00000114854","TNNC1",50,243
5.44343111528713e-15,"ENSG00000167768","KRT1",51,187
1.02915017968994e-14,"ENSG00000176208","ATAD5",52,84
1.03020243999546e-14,"ENSG00000268903","AL627309.6",53,160
1.74590559699403e-14,"ENSG00000099785","MARCHF2",54,78
1.84860115711636e-14,"ENSG00000214456","PLIN5",55,97
2.19255339876608e-14,"ENSG00000035664","DAPK2",56,99
3.17323104136727e-14,"ENSG00000173641","HSPB7",57,244
3.23171948127397e-14,"ENSG00000168309","FAM107A",58,358
3.45261451569629e-14,"ENSG00000105967","TFEC",59,67
3.74567478638505e-14,"ENSG00000206172","HBA1",60,117
4.08189226120975e-14,"ENSG00000116299","ELAPOR1",61,119
4.16082838833146e-14,"ENSG00000104904","OAZ1",62,21
4.45820106800491e-14,"ENSG00000213654","GPSM3",63,115
6.21407690528639e-14,"ENSG00000077522","ACTN2",64,34
6.92692485345702e-14,"ENSG00000105835","NAMPT",65,203
7.15993302788627e-14,"ENSG00000185262","UBALD2",66,46
7.57634701924432e-14,"ENSG00000115607","IL18RAP",67,178
8.89759523801047e-14,"ENSG00000008438","PGLYRP1",68,125
9.61350625124302e-14,"ENSG00000122367","LDB3",69,356
1.30651632704307e-13,"ENSG00000119121","TRPM6",70,117
1.32579430936197e-13,"ENSG00000143774","GUK1",71,121
1.39206414249571e-13,"ENSG00000109061","MYH1",72,206
1.39206414249571e-13,"ENSG00000152463","OLAH",73,193
1.43913930880618e-13,"ENSG00000132846","ZBED3",74,82
1.89476481253679e-13,"ENSG00000232368","FTLP2",75,11065
2.27685943749992e-13,"ENSG00000196843","ARID5A",76,100
2.89070609329562e-13,"ENSG00000130592","LSP1",77,20
2.89070609329562e-13,"ENSG00000132471","WBP2",78,138
2.92040694035426e-13,"ENSG00000104879","CKM",79,341
2.92040694035426e-13,"ENSG00000221957","KIR2DS4",80,70
3.77799424598769e-13,"ENSG00000135924","DNAJB2",81,130
7.12749123439189e-13,"ENSG00000139618","BRCA2",82,97
9.17646560220588e-13,"ENSG00000231412","AC005392.2",83,1089
9.93626556483747e-13,"ENSG00000204592","HLA-E",84,143
1.22749350966148e-12,"ENSG00000022840","RNF10",85,64
1.41385492221826e-12,"ENSG00000246859","STARD4-AS1",86,53
1.43825752047576e-12,"ENSG00000013306","SLC25A39",87,202
1.73331950047436e-12,"ENSG00000066279","ASPM",88,52
1.75668007384301e-12,"ENSG00000147872","PLIN2",89,180
1.81299685661039e-12,"ENSG00000172216","CEBPB",90,205
1.91024739830061e-12,"ENSG00000170525","PFKFB3",91,212
1.95387523608521e-12,"ENSG00000286051","AC244102.3",92,NA
2.12635487301182e-12,"ENSG00000102098","SCML2",93,141
2.48357584941827e-12,"ENSG00000225470","JPX",94,-7
2.48993143455842e-12,"ENSG00000168530","MYL1",95,274
3.00655345262233e-12,"ENSG00000189067","LITAF",96,121
3.43618698252034e-12,"ENSG00000103154","NECAB2",97,183
3.43618698252034e-12,"ENSG00000131669","NINJ1",98,223
3.43618698252034e-12,"ENSG00000282508","LINC01002",99,857
3.69811153652435e-12,"ENSG00000131095","GFAP",100,612
3.69811153652435e-12,"ENSG00000185900","POMK",101,-78
3.89636480461524e-12,"ENSG00000070495","JMJD6",102,128
4.2790384937771e-12,"ENSG00000112303","VNN2",103,227
4.44474354577876e-12,"ENSG00000149289","ZC3H12C",104,129
4.44474354577876e-12,"ENSG00000197893","NRAP",105,221
5.7212962131215e-12,"ENSG00000164047","CAMP",106,328
5.96000843125033e-12,"ENSG00000173894","CBX2",107,151
6.08964832328306e-12,"ENSG00000106484","MEST",108,956
6.39010466956764e-12,"ENSG00000100985","MMP9",109,193
6.39010466956764e-12,"ENSG00000158828","PINK1",110,9
6.54872468326119e-12,"ENSG00000244734","HBB",111,244
6.60629194099146e-12,"ENSG00000139890","REM2",112,158
7.23685820886358e-12,"ENSG00000219507","FTH1P8",113,15
7.30355893618273e-12,"ENSG00000051341","POLQ",114,46
7.30355893618273e-12,"ENSG00000144354","CDCA7",115,274
7.42798701876285e-12,"ENSG00000149639","SOGA1",116,115
9.27233519421921e-12,"ENSG00000180644","PRF1",117,227
9.79164162845065e-12,"ENSG00000172116","CD8B",118,256
1.06810736135377e-11,"ENSG00000164309","CMYA5",119,573
1.07415628334805e-11,"ENSG00000178295","GEN1",120,178
1.21411503635944e-11,"ENSG00000285417","BX571818.1",121,NA
1.24337840720468e-11,"ENSG00000173868","PHOSPHO1",122,113
1.25865480859806e-11,"ENSG00000124731","TREM1",123,417
1.27607984141708e-11,"ENSG00000169180","XPO6",124,221
1.28283575788403e-11,"ENSG00000171051","FPR1",125,282
1.51240091372503e-11,"ENSG00000227507","LTB",126,253
1.69491846073839e-11,"ENSG00000258819","LINC02289",127,405
1.95334844263408e-11,"ENSG00000120306","CYSTM1",128,318
2.06526377030314e-11,"ENSG00000255398","HCAR3",129,224
2.4009574880044e-11,"ENSG00000269821","KCNQ1OT1",130,444
2.47603206440814e-11,"ENSG00000142731","PLK4",131,32
2.60573345133888e-11,"ENSG00000125498","KIR2DL1",132,224
2.60573345133888e-11,"ENSG00000188536","HBA2",133,282
2.93727968306079e-11,"ENSG00000242960","FTH1P23",134,5936
3.04410532936743e-11,"ENSG00000243772","KIR2DL3",135,63
3.26911428996708e-11,"ENSG00000109846","CRYAB",136,635
3.29753076335483e-11,"ENSG00000213362","FTH1P12",137,6638
3.35084225019968e-11,"ENSG00000118276","B4GALT6",138,-24
3.58616069296396e-11,"ENSG00000196923","PDLIM7",139,246
3.58616069296396e-11,"ENSG00000236562","IFITM3P1",140,1211
3.74338334197523e-11,"ENSG00000164116","GUCY1A1",141,404
3.87729692113004e-11,"ENSG00000286071","AL136171.2",142,NA
4.4216764345021e-11,"ENSG00000187608","ISG15",143,41
4.4216764345021e-11,"ENSG00000257335","MGAM",144,279
4.43335364767125e-11,"ENSG00000127084","FGD3",145,132
4.43335364767125e-11,"ENSG00000281344","HELLPAR",146,45
4.60193465165135e-11,"ENSG00000130066","SAT1",147,216
4.6100922056847e-11,"ENSG00000156970","BUB1B",148,284
4.72911176554397e-11,"ENSG00000119969","HELLS",149,139
4.77362895151413e-11,"ENSG00000124766","SOX4",150,136
5.82129943555937e-11,"ENSG00000139112","GABARAPL1",151,235
