"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000286051",0,0,0,2400,480,793,1.95387523608521e-12,"AC244102.3",92,NA
"ENSG00000285417",6,0,12,4278,1369,662,1.21411503635944e-11,"BX571818.1",121,NA
"ENSG00000286071",16,8,9,854,972,916,3.87729692113004e-11,"AL136171.2",142,NA
"ENSG00000286742",2,3,0,758,384,2034,6.83031175741607e-10,"AC000065.1",214,NA
"ENSG00000287195",18,7,10,1328,1930,373,4.67829716377408e-09,"AC131568.1",288,NA
"ENSG00000129682",34,32,509,4,4,0,7.91399549255422e-09,"FGF13",324,NA
"ENSG00000286153",7,1,16,448,746,586,9.67811801935019e-09,"AP000331.1",337,NA
"ENSG00000287932",0,0,0,304,102,644,2.94581258358429e-08,"AC000065.2",403,NA
"ENSG00000286616",2,1,3,299,173,204,3.08914415722767e-08,"AL008730.1",407,NA
"ENSG00000286545",3,4,2,256,210,247,1.31689467110032e-07,"AC092645.2",491,NA
"ENSG00000204389",16939,2396,3445,618,623,749,1.37025099075519e-07,"HSPA1A",498,NA
"ENSG00000283208",5,6,4,296,251,265,1.63960302021315e-07,"AC001226.2",511,NA
"ENSG00000107317",114,657,39,16,4,0,2.28111850997607e-07,"PTGDS",545,NA
"ENSG00000113905",68,0,0,0,0,0,5.91326349499591e-07,"HRG",644,NA
"ENSG00000203811",46,80,12,1,0,0,6.20213771623646e-07,"H3C14",654,NA
"ENSG00000198892",524,57,135,40,10,10,6.81015933808543e-07,"SHISA4",668,NA
"ENSG00000287771",20,11,285,2,0,0,1.00240559696265e-06,"AC007271.1",718,NA
"ENSG00000288048",1,0,2,703,39,383,1.92492505132501e-06,"AC104088.3",830,NA
"ENSG00000285650",1,0,0,175,173,122,2.27023153294699e-06,"AL157827.2",858,NA
"ENSG00000287408",0,0,1,211,196,91,2.39565821107504e-06,"AC027811.1",867,NA
"ENSG00000260007",5,12,22,463,344,244,2.58678939124807e-06,"AC107871.1",880,NA
"ENSG00000286320",3,3,1,201,130,301,3.37646439189305e-06,"AC108053.1",927,NA
"ENSG00000287255",24,248,1325,35,6,0,4.47782161768554e-06,"AC007877.1",974,NA
"ENSG00000286512",2,0,12,283,242,337,4.48480622797739e-06,"AL031768.2",976,NA
"ENSG00000239552",0,0,0,75,46,373,4.82471043833533e-06,"HOXB-AS2",989,NA
"ENSG00000286341",6,5,6,253,547,112,4.83497119482224e-06,"AP002762.3",993,NA
"ENSG00000233791",15,17,273,5,6,5,5.06638296176367e-06,"LINC01136",1006,NA
"ENSG00000168314",13,7,257,4,2,0,7.18485639725404e-06,"MOBP",1083,NA
"ENSG00000285303",0,0,0,43,280,71,7.88789151593412e-06,"AC004381.4",1113,NA
"ENSG00000287555",7,2,8,184,206,239,7.9987559245442e-06,"AC023424.2",1124,NA
"ENSG00000286214",15,6,53,774,580,474,1.49768706084319e-05,"AUXG01000058.1",1298,NA
"ENSG00000286245",0,0,0,50,75,122,1.79846030834466e-05,"AC125437.3",1364,NA
"ENSG00000286672",2,0,0,150,116,147,1.82909036317498e-05,"AL096712.2",1370,NA
"ENSG00000091583",86,1,9,0,0,0,2.19016841330629e-05,"APOH",1423,NA
"ENSG00000286864",8,0,0,536,484,227,2.31988796250633e-05,"AC012076.1",1444,NA
"ENSG00000287680",8,3,1,402,185,186,2.33053930209091e-05,"AC093330.3",1445,NA
"ENSG00000285999",4,4,17,148,349,262,3.0927672517633e-05,"AC025442.2",1533,NA
"ENSG00000123560",51,56,847,29,0,10,3.19455748817975e-05,"PLP1",1544,NA
"ENSG00000286550",2,0,1,115,124,82,3.19684518248201e-05,"AL591002.1",1545,NA
"ENSG00000286912",0,0,0,182,22,74,4.37985583540932e-05,"AC006008.1",1626,NA
"ENSG00000271821",8,9,65,2,1,0,4.95733597800736e-05,"AL662844.3",1666,NA
"ENSG00000287727",1,2,0,130,93,98,5.09839790401214e-05,"AL139423.2",1682,NA
"ENSG00000284770",16,1,10,336,429,320,5.59458907165421e-05,"TBCE",1715,NA
"ENSG00000152766",41,153,5898,35,161,16,5.61971540279455e-05,"ANKRD22",1718,NA
"ENSG00000157654",115,190,141,2344,3529,3474,6.04387720488283e-05,"PALM2AKAP2",1736,NA
"ENSG00000136872",177,12,34,10,10,8,6.3291348137169e-05,"ALDOB",1753,NA
"ENSG00000285774",30,15,9,1,1,0,6.79948824072942e-05,"AL133444.1",1784,NA
"ENSG00000287403",0,0,0,35,72,80,7.33878472472098e-05,"AC016245.2",1823,NA
"ENSG00000286997",11,2,4,190,221,350,7.41840229102823e-05,"AC005856.1",1825,NA
