"rank_change","symbol","rank","padj","gene"
0,"CXCR1",1,1.33191082365877e-62,"ENSG00000163464"
1,"FCGR3B",2,2.83830926100283e-58,"ENSG00000162747"
4,"KCNJ15",3,3.57355141398435e-39,"ENSG00000157551"
5,"FAM157A",4,6.0078354784797e-32,"ENSG00000236438"
19,"LCN2",5,7.95966811704023e-31,"ENSG00000148346"
11,"CCNJL",6,1.27662211026845e-29,"ENSG00000135083"
11,"TREML3P",7,3.2886397329672e-29,"ENSG00000184106"
13,"R3HDM4",8,2.86617997930191e-28,"ENSG00000198858"
101,"ACTA1",9,2.74688326323054e-26,"ENSG00000143632"
22,"CD177",10,8.20034502843424e-26,"ENSG00000204936"
31,"FFAR2",11,2.18862739289544e-25,"ENSG00000126262"
812,"FTLP3",12,4.0554488309443e-24,"ENSG00000226608"
20,"KIT",13,5.32650270631705e-23,"ENSG00000157404"
34,"FKBP8",14,1.55082224102097e-21,"ENSG00000105701"
22,"NPR3",15,1.60550587246929e-21,"ENSG00000113389"
31,"TNFRSF10C",16,4.09089040460972e-20,"ENSG00000173535"
27,"YPEL3",17,9.54990441020369e-20,"ENSG00000090238"
37,"CDKN2D",18,2.04189273238693e-19,"ENSG00000129355"
46,"ADAM8",19,2.04189273238693e-19,"ENSG00000151651"
75,"GZMB",20,2.09528149236931e-19,"ENSG00000100453"
37,"CDC34",21,2.1292185750984e-19,"ENSG00000099804"
260,"MYBPC1",22,3.94755365191433e-19,"ENSG00000196091"
76,"MB",23,4.34357460126445e-19,"ENSG00000198125"
46,"ZDHHC18",24,2.31064097219045e-18,"ENSG00000204160"
27,"KRT23",25,1.77799438369441e-17,"ENSG00000108244"
189,"MYL2",26,2.27542794553201e-17,"ENSG00000111245"
115,"PDZK1IP1",27,2.66756845902092e-17,"ENSG00000162366"
64,"ADIPOR1",28,2.80570362174391e-17,"ENSG00000159346"
132,"MYH7",29,5.88688951836698e-17,"ENSG00000092054"
86,"PI3",30,1.30221926642906e-16,"ENSG00000124102"
23,"COL24A1",31,1.32361205106253e-16,"ENSG00000171502"
1372,"FTH1P2",32,1.32361205106253e-16,"ENSG00000234975"
1357,"FTH1P7",33,1.45521452962935e-16,"ENSG00000232187"
60,"CXCR2",34,1.57717434735541e-16,"ENSG00000180871"
53,"MMP25",35,2.30879667261522e-16,"ENSG00000008516"
138,"AQP9",36,4.24774305841386e-16,"ENSG00000103569"
81,"ORM1",37,5.00919645658025e-16,"ENSG00000229314"
120,"ACSL1",38,5.76676068945517e-16,"ENSG00000151726"
91,"AL035661.1",39,5.76676068945517e-16,"ENSG00000274173"
93,"FTL",40,1.15284147977882e-15,"ENSG00000087086"
156,"IL1R2",41,1.40773578353088e-15,"ENSG00000115590"
147,"CMTM2",42,1.41016394864755e-15,"ENSG00000140932"
64,"KIAA1549",43,2.37796502580906e-15,"ENSG00000122778"
24,"SLC44A2",44,2.37796502580906e-15,"ENSG00000129353"
150,"PROM1",45,2.71842736387619e-15,"ENSG00000007062"
182,"HSPA6",46,2.71842736387619e-15,"ENSG00000173110"
90,"IFITM2",47,3.89282374123257e-15,"ENSG00000185201"
26,"HBQ1",48,4.69461263688614e-15,"ENSG00000086506"
121,"ABTB1",49,4.69461263688614e-15,"ENSG00000114626"
243,"TNNC1",50,5.44343111528713e-15,"ENSG00000114854"
