"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED_bam","GDC2828countsREPROCESSED_bam","GDC2839countsREPROCESSED_bam","padj","symbol","rank","rank_change"
"ENSG00000163464",12193,20430,95467,14,10,18,6.83e-69,"CXCR1",1,0
"ENSG00000162747",9192,7385,35265,12,38,20,3.12e-58,"FCGR3B",2,0
"ENSG00000157551",1227,2227,7541,18,15,10,1.05e-43,"KCNJ15",3,0
"ENSG00000236438",935,549,1788,28,30,29,8.61e-43,"FAM157A",4,0
"ENSG00000135083",835,1353,2630,23,16,7,2.34e-39,"CCNJL",5,1
"ENSG00000184106",311,288,957,6,7,5,2.08e-35,"TREML3P",6,1
"ENSG00000198858",22229,12733,33248,1812,1724,1560,1.01e-34,"R3HDM4",7,1
"ENSG00000148346",7056,871,28306,11,15,14,2.03e-30,"LCN2",8,-3
"ENSG00000204936",1636,10916,251070,1,0,2,2.27e-26,"CD177",9,1
"ENSG00000090238",7631,5230,10759,1211,847,984,1.14e-25,"YPEL3",10,7
"ENSG00000077522",189,168,259,2,7,3,4.48e-25,"ACTN2",11,53
"ENSG00000126262",1151,2677,19899,17,40,24,9.9e-25,"FFAR2",12,-1
"ENSG00000105701",67468,73073,45019,3733,2994,3126,6.58e-24,"FKBP8",13,1
"ENSG00000157404",22,13,20,12622,3907,9866,1.11e-23,"KIT",14,-1
"ENSG00000151651",6810,5498,19388,844,805,1152,3.17e-23,"ADAM8",15,4
"ENSG00000099804",2486,2065,3351,512,448,336,1.2e-22,"CDC34",16,5
"ENSG00000113389",8,6,6,7421,2130,7577,2.3e-22,"NPR3",17,-2
"ENSG00000198125",715,385,326,1,1,4,2.3e-22,"MB",18,5
"ENSG00000129353",5794,5056,14345,1421,1602,1580,3.9e-21,"SLC44A2",19,25
"ENSG00000129355",1661,2595,6695,353,373,242,1.01e-20,"CDKN2D",20,-2
"ENSG00000204160",5375,4300,16548,981,1036,788,2.48e-20,"ZDHHC18",21,3
"ENSG00000176208",36,27,54,2065,2723,2439,1.13e-19,"ATAD5",22,30
"ENSG00000143632",4158,1193,953,6,31,14,1.2e-19,"ACTA1",23,-14
"ENSG00000173535",805,2580,9781,76,18,42,5.52e-19,"TNFRSF10C",24,-8
"ENSG00000008516",7249,7167,51654,249,391,67,1.24e-18,"MMP25",25,10
"ENSG00000159346",19639,16317,21194,3018,3488,1816,2.41e-18,"ADIPOR1",26,2
"ENSG00000108244",255,479,1758,1,0,1,2.73e-18,"KRT23",27,-2
"ENSG00000180871",7676,10572,47694,33,192,356,3.71e-18,"CXCR2",28,6
"ENSG00000100453",4006,4146,1416,99,38,22,3.96e-18,"GZMB",29,-9
"ENSG00000268903",995,892,5008,8,51,9,4.31e-18,"",30,23
"ENSG00000092054",1390,608,538,0,2,0,4.54e-18,"MYH7",31,-2
"ENSG00000124102",484,132,435,1,2,0,1.33e-17,"PI3",32,-2
"ENSG00000196091",432,206,348,0,3,8,1.76e-17,"MYBPC1",33,-11
"ENSG00000185262",2806,3284,7808,1051,872,1108,2.39e-17,"UBALD2",34,32
"ENSG00000171502",3,3,13,5873,1598,2131,2.56e-17,"COL24A1",35,-4
"ENSG00000132846",19,11,32,1246,1497,1661,4.92e-17,"ZBED3",36,38
"ENSG00000114854",145,138,100,6,7,5,5.34e-17,"TNNC1",37,13
"ENSG00000130592",13704,9296,29411,2882,1964,3355,8.79e-17,"LSP1",38,39
"ENSG00000105967",51,96,161,5480,7939,6812,1.22e-16,"TFEC",39,20
"ENSG00000099785",2347,1469,4080,385,633,378,1.31e-16,"MARCHF2",40,14
"ENSG00000162366",1220,878,556,29,3,11,1.66e-16,"PDZK1IP1",41,-14
"ENSG00000197893",189,119,159,0,1,3,1.67e-16,"NRAP",42,63
"ENSG00000104904",18549,25637,40555,5811,8492,5311,2e-16,"OAZ1",43,19
"ENSG00000274173",81,497,1040,4,0,3,2.38e-16,"LINC02967",44,-5
"ENSG00000229314",189,127,860,9,11,2,2.66e-16,"ORM1",45,-8
"ENSG00000122367",152,56,140,4,5,6,4.35e-16,"LDB3",46,23
"ENSG00000111245",505,323,333,0,0,1,5.58e-16,"MYL2",47,-21
"ENSG00000114626",6409,10000,41276,1435,1119,1408,5.67e-16,"ABTB1",48,1
"ENSG00000035664",1049,580,1841,225,129,128,6.92e-16,"DAPK2",49,7
"ENSG00000158828",602,693,1538,229,288,266,6.92e-16,"PINK1",50,60
"ENSG00000196843",3881,3549,11519,1327,962,1166,6.97e-16,"ARID5A",51,25
"ENSG00000151726",22423,20774,149545,3340,2546,1981,8.08e-16,"ACSL1",52,-14
"ENSG00000087086",122112,103511,189001,18509,29600,10712,9.79e-16,"FTL",53,-13
"ENSG00000185559",6,4,10,732,616,908,1.26e-15,"DLK1",54,691
"ENSG00000122778",3,1,12,1800,1208,948,2.91e-15,"KIAA1549",55,-12
"ENSG00000106823",8,8,13,634,918,729,3.11e-15,"ECM2",56,115
"ENSG00000185201",24617,35116,216514,3930,1282,2243,3.9e-15,"IFITM2",57,-10
"ENSG00000285417",6,0,12,4278,1561,2923,3.98e-15,"",58,63
"ENSG00000139618",28,24,60,1528,2667,1916,6.1e-15,"BRCA2",59,23
"ENSG00000081923",18,17,21,1208,2304,1333,6.17e-15,"ATP8B1",60,353
"ENSG00000115590",1535,21445,251167,129,113,5,6.53e-15,"IL1R2",61,-20
"ENSG00000140932",238,663,3703,17,6,31,6.53e-15,"CMTM2",62,-20
"ENSG00000007062",8,5,3,9260,939,9166,8.65e-15,"PROM1",63,-18
"ENSG00000135924",2396,1215,2034,336,403,301,9.98e-15,"DNAJB2",64,17
"ENSG00000213654",10246,10890,46577,2308,3105,1994,1e-14,"GPSM3",65,-2
"ENSG00000008438",2002,837,2009,104,15,29,1.17e-14,"PGLYRP1",66,2
"ENSG00000070495",1910,1827,4593,885,782,951,1.72e-14,"JMJD6",67,35
"ENSG00000022840",12037,11720,40543,4388,4081,4378,2.1e-14,"RNF10",68,17
"ENSG00000103569",6406,18023,88377,181,534,27,2.32e-14,"AQP9",69,-33
"ENSG00000132471",9721,4497,14666,1760,2244,1449,2.32e-14,"WBP2",70,8
"ENSG00000143774",12395,8405,8383,1882,1378,1151,2.34e-14,"GUK1",71,0
"ENSG00000086506",480,1110,408,31,7,28,2.86e-14,"HBQ1",72,-24
"ENSG00000119121",94,184,122,9,10,14,2.86e-14,"TRPM6",73,-3
"ENSG00000214456",207,946,2249,21,57,18,3.1e-14,"PLIN5",74,-19
"ENSG00000109061",465,330,175,1,0,0,3.89e-14,"MYH1",75,-3
"ENSG00000116299",944,787,957,52,4,21,4.19e-14,"ELAPOR1",76,-15
"ENSG00000155189",85,69,109,2893,3127,3484,5.43e-14,"AGPAT5",77,105
"ENSG00000168309",76,124,630,5,10,2,5.43e-14,"FAM107A",78,-20
"ENSG00000173641",108,153,187,0,1,1,5.92e-14,"HSPB7",79,-22
"ENSG00000221957",226,159,97,1,4,0,6.48e-14,"KIR2DS4",80,0
"ENSG00000156802",108,104,160,3859,3974,3463,7.32e-14,"ATAD2",81,96
"ENSG00000105835",21304,38257,221010,3662,4582,1824,8.08e-14,"NAMPT",82,-17
"ENSG00000232187",142,136,409,10,31,9,9.53e-14,"FTH1P7",83,-50
"ENSG00000154553",43,77,80,4,5,2,1.42e-13,"PDLIM3",84,95
"ENSG00000236562",79,38,205,1,2,1,1.72e-13,"IFITM3P1",85,55
"ENSG00000258819",53,275,130,2,1,2,1.84e-13,"LINC02289",86,41
"ENSG00000102098",13,5,8,1252,837,1009,2.13e-13,"SCML2",87,6
"ENSG00000103154",91,110,284,2,0,0,2.54e-13,"NECAB2",88,9
"ENSG00000173110",8520,1516,8372,20,113,3,2.57e-13,"HSPA6",89,-43
"ENSG00000050165",69,131,224,17,5,6,2.61e-13,"DKK3",90,84
"ENSG00000104218",86,73,148,3320,2871,4057,2.64e-13,"CSPP1",91,96
"ENSG00000167768",1599,1010,98,6,6,0,2.64e-13,"KRT1",92,-41
"ENSG00000198554",23,25,35,1009,1213,1055,2.75e-13,"WDHD1",93,76
"ENSG00000173868",5396,4657,2167,146,263,38,2.78e-13,"PHOSPHO1",94,28
"ENSG00000189067",15999,13869,80658,3941,2730,3480,2.8e-13,"LITAF",95,1
"ENSG00000246859",7,3,10,1379,543,1611,2.84e-13,"STARD4-AS1",96,-10
"ENSG00000134668",116,56,83,1,4,5,3.01e-13,"SPOCD1",97,58
"ENSG00000187608",256,231,585,113,116,80,3.07e-13,"ISG15",98,45
"ENSG00000234975",115,87,191,3,17,11,3.11e-13,"FTH1P2",99,-67
"ENSG00000079393",97,41,178,4,0,2,3.49e-13,"DUSP13",100,58
"ENSG00000149289",6,6,27,1886,943,2740,4.59e-13,"ZC3H12C",101,3
"ENSG00000225470",14,7,7,1117,1233,2461,5.17e-13,"JPX",102,-8
"ENSG00000104879",2735,1531,655,9,60,60,6.17e-13,"CKM",103,-24
"ENSG00000142731",14,12,13,725,1152,882,6.33e-13,"PLK4",104,27
"ENSG00000115607",1675,5936,40574,311,48,61,6.66e-13,"IL18RAP",105,-38
"ENSG00000149639",103,63,138,3741,6592,4058,6.69e-13,"SOGA1",106,10
"ENSG00000206172",146011,76520,9166,197,0,34,6.69e-13,"HBA1",107,-47
"ENSG00000168530",209,149,67,0,0,0,7.53e-13,"MYL1",108,-13
"ENSG00000147872",15575,5285,7703,1128,1215,820,7.54e-13,"PLIN2",109,-20
"ENSG00000068971",1014,648,1508,232,378,212,7.84e-13,"PPP2R5B",110,42
"ENSG00000204592",49730,53724,129569,18247,22267,10076,8.48e-13,"HLA-E",111,-27
"ENSG00000152463",13,906,5694,5,1,4,8.78e-13,"OLAH",112,-39
"ENSG00000060749",64,80,78,2901,3580,3527,8.94e-13,"QSER1",113,63
"ENSG00000106484",24,6,33,1529,2098,1714,9.12e-13,"MEST",114,-6
"ENSG00000164309",133,188,365,42,13,27,9.79e-13,"CMYA5",115,4
"ENSG00000185043",1249,1354,2373,598,791,764,1.43e-12,"CIB1",116,115
"ENSG00000066279",25,7,12,1722,3406,1960,1.52e-12,"ASPM",117,-29
"ENSG00000286051",0,0,0,2400,482,6603,1.53e-12,"MAGEA6-DT",118,-26
"ENSG00000131095",311,186,810,3,10,31,1.66e-12,"GFAP",119,-19
"ENSG00000132376",1658,1341,2797,894,979,882,1.82e-12,"INPP5K",120,157
"ENSG00000286071",16,8,9,854,1105,1198,1.89e-12,"",121,21
"ENSG00000163507",19,20,27,966,1059,773,1.94e-12,"CIP2A",122,43
"ENSG00000139890",156,305,498,55,17,24,2.3e-12,"REM2",123,-11
"ENSG00000051341",22,5,20,1486,2039,1266,2.34e-12,"POLQ",124,-10
"ENSG00000127084",8854,6902,23100,3139,4012,2329,2.5e-12,"FGD3",125,20
"ENSG00000124766",57,31,106,2543,5511,7408,2.7e-12,"SOX4",126,24
"ENSG00000178295",51,32,66,2229,2590,1556,2.76e-12,"GEN1",127,-7
"ENSG00000184481",1630,1201,2076,552,464,680,2.8e-12,"FOXO4",128,232
"ENSG00000214688",77,81,169,30,19,15,2.94e-12,"C10orf105",129,63
"ENSG00000013306",46603,39787,9269,2380,1334,1139,3.35e-12,"SLC25A39",130,-43
"ENSG00000159173",450,111,61,1,1,1,3.51e-12,"TNNI1",131,53
"ENSG00000170525",10437,5449,42112,1471,1850,668,3.84e-12,"PFKFB3",132,-41
"ENSG00000175003",62,35,110,3,4,0,4.2e-12,"SLC22A1",133,30
"ENSG00000034152",5458,3777,10684,2604,2690,2350,4.23e-12,"MAP2K3",134,79
