"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000163464",12193,20430,95467,15,10,18,3.04080744925554e-69,"CXCR1",1,0
"ENSG00000162747",9192,7385,35265,12,38,20,1.10385169059242e-56,"FCGR3B",2,1
"ENSG00000157551",1227,2227,7541,18,15,10,3.87326622734162e-45,"KCNJ15",3,4
"ENSG00000236438",935,549,1788,29,30,29,4.37623972067496e-44,"FAM157A",4,5
"ENSG00000184106",311,288,957,6,7,5,2.64530528974085e-36,"TREML3P",5,13
"ENSG00000198858",22229,12733,33248,1944,1724,1560,3.23015686858026e-36,"R3HDM4",6,15
"ENSG00000135083",835,1353,2630,29,16,7,3.72010171883441e-36,"CCNJL",7,10
"ENSG00000148346",7056,871,28306,12,15,14,4.04758806072732e-30,"LCN2",8,16
"ENSG00000090238",7631,5230,10759,1328,847,984,1.55776594463e-26,"YPEL3",9,35
"ENSG00000204936",1636,10916,251070,1,0,2,4.29947429773077e-26,"CD177",10,22
"ENSG00000077522",189,168,259,2,7,3,1.57554653471435e-25,"ACTN2",11,87
"ENSG00000126262",1151,2677,19899,18,40,24,1.80035235436414e-24,"FFAR2",12,30
"ENSG00000105701",67468,73073,45019,4029,2994,3126,1.93895116871696e-24,"FKBP8",13,35
"ENSG00000099804",2486,2065,3351,547,448,336,2.5550484999065e-24,"CDC34",14,44
"ENSG00000157404",22,13,20,13592,3907,9866,4.73722992869262e-24,"KIT",15,18
"ENSG00000151651",6810,5498,19388,911,805,1152,9.05161603144579e-24,"ADAM8",16,49
"ENSG00000198125",715,385,326,2,1,4,1.3040075858151e-23,"MB",17,82
"ENSG00000219507",183,137,284,7,16,8,1.44637235781223e-23,"FTH1P8",18,110
"ENSG00000113389",8,6,6,8030,2130,7577,1.45613959887136e-22,"NPR3",19,18
"ENSG00000129353",5794,5056,14345,1538,1602,1580,3.55852976049376e-22,"SLC44A2",20,48
"ENSG00000143632",4158,1193,953,14,31,14,1.42831139008443e-21,"ACTA1",21,89
"ENSG00000129355",1661,2595,6695,384,373,242,2.52469218650864e-21,"CDKN2D",22,33
"ENSG00000108244",255,479,1758,2,0,1,3.03683435024796e-21,"KRT23",23,29
"ENSG00000204160",5375,4300,16548,1066,1036,788,7.07776521063024e-21,"ZDHHC18",24,46
"ENSG00000176208",36,27,54,2235,2723,2439,7.47970872400944e-21,"ATAD5",25,111
"ENSG00000234975",115,87,191,10,17,11,1.17327528951552e-19,"FTH1P2",26,1378
"ENSG00000173535",805,2580,9781,81,18,42,4.02031650658313e-19,"TNFRSF10C",27,20
"ENSG00000159346",19639,16317,21194,3235,3488,1816,4.36821665763782e-19,"ADIPOR1",28,64
"ENSG00000008516",7249,7167,51654,271,391,67,1.56019291915055e-18,"MMP25",29,59
"ENSG00000100453",4006,4146,1416,106,38,22,3.00150134465551e-18,"GZMB",30,65
"ENSG00000180871",7676,10572,47694,37,192,356,3.72425936113079e-18,"CXCR2",31,63
"ENSG00000092054",1390,608,538,0,2,0,3.77671402761016e-18,"MYH7",32,129
"ENSG00000185262",2806,3284,7808,1152,872,1108,3.77671402761016e-18,"UBALD2",33,79
"ENSG00000268903",995,892,5008,9,51,9,4.1735077309404e-18,"AL627309.6",34,179
"ENSG00000124102",484,132,435,1,2,0,9.45414800595074e-18,"PI3",35,81
"ENSG00000132846",19,11,32,1349,1497,1661,9.98249681306327e-18,"ZBED3",36,120
"ENSG00000171502",3,3,13,6351,1598,2131,1.80273708247138e-17,"COL24A1",37,17
"ENSG00000114854",145,138,100,7,7,5,2.4678428132742e-17,"TNNC1",38,255
"ENSG00000105967",51,96,161,5895,7939,6812,2.471344778061e-17,"TFEC",39,87
"ENSG00000104904",18549,25637,40555,6352,8492,5311,2.81222061759046e-17,"OAZ1",40,43
"ENSG00000130592",13704,9296,29411,3109,1964,3355,2.96411986225919e-17,"LSP1",41,56
"ENSG00000196091",432,206,348,0,3,8,4.47974330560356e-17,"MYBPC1",42,240
"ENSG00000099785",2347,1469,4080,413,633,378,5.28901740011242e-17,"MARCHF2",43,89
"ENSG00000197893",189,119,159,0,1,3,1.05161226794793e-16,"NRAP",44,282
"ENSG00000158828",602,693,1538,244,288,266,1.08516544222464e-16,"PINK1",45,74
"ENSG00000229314",189,127,860,9,11,2,1.3587211305764e-16,"ORM1",46,72
"ENSG00000196843",3881,3549,11519,1430,962,1166,1.90391689768338e-16,"ARID5A",47,129
"ENSG00000122367",152,56,140,4,5,6,2.44835922291599e-16,"LDB3",48,377
"ENSG00000111245",505,323,333,0,0,1,3.95255289082779e-16,"MYL2",49,166
"ENSG00000185559",6,4,10,793,616,908,3.99414621151294e-16,"DLK1",50,259
"ENSG00000114626",6409,10000,41276,1556,1119,1408,4.03375079688372e-16,"ABTB1",51,119
"ENSG00000087086",122112,103511,189001,19923,29600,10712,4.61528952466367e-16,"FTL",52,81
"ENSG00000274173",81,497,1040,5,0,3,5.26170114961792e-16,"AL035661.1",53,77
"ENSG00000151726",22423,20774,149545,3587,2546,1981,6.69597170278731e-16,"ACSL1",54,104
"ENSG00000226608",677,926,1286,59,153,51,7.68827050547374e-16,"FTLP3",55,769
"ENSG00000106823",8,8,13,678,918,729,9.33627383835496e-16,"ECM2",56,46
"ENSG00000035664",1049,580,1841,253,129,128,1.32134831876471e-15,"DAPK2",57,98
"ENSG00000122778",3,1,12,1940,1208,948,1.47518473039646e-15,"KIAA1549",58,49
"ENSG00000162366",1220,878,556,35,3,11,2.1555957396666e-15,"PDZK1IP1",59,83
"ENSG00000070495",1910,1827,4593,943,782,951,2.25483421596607e-15,"JMJD6",60,170
"ENSG00000081923",18,17,21,1299,2304,1333,2.48286832992617e-15,"ATP8B1",61,585
"ENSG00000139618",28,24,60,1633,2667,1916,2.48403888677433e-15,"BRCA2",62,117
"ENSG00000185201",24617,35116,216514,4208,1282,2243,3.07134407609775e-15,"IFITM2",63,74
"ENSG00000285417",6,0,12,4595,1561,2923,3.64995892850016e-15,"BX571818.1",64,NA
"ENSG00000156802",108,104,160,4167,3974,3463,4.82723757741261e-15,"ATAD2",65,120
"ENSG00000135924",2396,1215,2034,369,403,301,5.33829489553039e-15,"DNAJB2",66,145
"ENSG00000008438",2002,837,2009,110,15,29,6.0341351184115e-15,"PGLYRP1",67,126
"ENSG00000213654",10246,10890,46577,2514,3105,1994,6.72142640782132e-15,"GPSM3",68,110
"ENSG00000232187",142,136,409,17,31,9,7.55032787369419e-15,"FTH1P7",69,1321
"ENSG00000022840",12037,11720,40543,4751,4081,4378,7.68656836929742e-15,"RNF10",70,79
"ENSG00000155189",85,69,109,3124,3127,3484,7.68656836929742e-15,"AGPAT5",71,63
"ENSG00000007062",8,5,3,9926,939,9166,9.22768745619307e-15,"PROM1",72,123
