"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000254772",32824,21405,27044,0,0,0,1.67464174959057e-38,"EEF1G",15,NA
"ENSG00000271303",984,1482,4595,5,8,2,1.34811641898491e-37,"SRXN1",16,NA
"ENSG00000139637",541,456,828,5,0,2,3.4396651561066e-26,"MYG1",35,NA
"ENSG00000187838",1493,1246,1447,9,3,0,2.58686986505486e-25,"PLSCR3",40,NA
"ENSG00000205307",1431,826,2041,0,3,0,4.82513350753825e-25,"SAP25",41,NA
"ENSG00000268734",2181,2611,19247,0,0,0,8.05477315558861e-25,"AC245128.3",43,NA
"ENSG00000105583",1187,1316,3378,1,0,1,2.60553266616492e-24,"WDR83OS",45,NA
"ENSG00000214736",640,1239,1168,0,0,0,5.89375846406944e-21,"TOMM6",64,NA
"ENSG00000211675",500,685,976,0,0,0,1.54257259075928e-20,"IGLC1",71,NA
"ENSG00000272573",185,150,490,9,3,5,2.47448586190816e-20,"MUSTN1",72,NA
"ENSG00000274012",2867,2115,673,0,0,0,1.96714090011772e-19,"RN7SL2",84,NA
"ENSG00000213689",326,572,850,0,0,0,5.23364670184234e-19,"TREX1",89,NA
"ENSG00000267368",802,770,526,0,0,0,1.60221487164974e-18,"UPK3BL1",96,NA
"ENSG00000149798",365,436,2065,20,4,9,3.33134775767744e-18,"CDC42EP2",104,NA
"ENSG00000145029",380,241,779,0,0,0,8.06079451876944e-18,"NICN1",108,NA
"ENSG00000266820",314,274,1246,0,0,0,1.80726517638231e-17,"KPNA2P3",115,NA
"ENSG00000141086",300,162,236,3,1,1,4.3881880334353e-17,"CTRL",122,NA
"ENSG00000266469",105,141,312,11,6,13,7.57078206899177e-16,"AC005288.1",143,NA
"ENSG00000213073",606,361,282,0,0,0,1.01560767285664e-15,"CHP1P2",145,NA
"ENSG00000226232",220,128,287,2,1,0,2.83069242346938e-15,"NPIPB14P",159,NA
"ENSG00000213931",415,2762,255,0,0,0,2.23634738938734e-14,"HBE1",194,NA
"ENSG00000279117",236,296,176,0,0,0,3.36957048700426e-14,"AP001972.5",202,NA
"ENSG00000263647",160,104,573,0,0,0,4.48059415678127e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58230587160214e-14,"IGKJ2",210,NA
"ENSG00000099977",181,224,656,0,0,1,5.43288496806173e-14,"DDT",212,NA
"ENSG00000281991",142,192,562,1,1,0,6.82302413881455e-14,"TMEM265",214,NA
"ENSG00000243749",145,331,965,1,0,0,9.587652041274e-14,"TMEM35B",219,NA
"ENSG00000257949",215,329,475,14,1,11,1.16584275866961e-13,"TEN1",221,NA
"ENSG00000213780",205,147,226,9,9,1,1.26684396612309e-13,"GTF2H4",222,NA
"ENSG00000274425",98,162,276,1,6,9,7.6464264943e-13,"AC114271.1",257,NA
"ENSG00000231259",129,91,146,0,0,0,9.65310207232979e-13,"ANAPC1P2",260,NA
"ENSG00000215837",83,82,281,0,0,0,1.05268315011683e-12,"SDHAP2",262,NA
"ENSG00000267673",67,69,95,2,4,4,1.53130097722336e-12,"FDX2",272,NA
"ENSG00000280143",439,177,136,2,1,0,1.60893850781249e-12,"AP000892.4",274,NA
"ENSG00000253797",54,161,301,0,0,0,2.25142804703815e-12,"UTP14C",285,NA
"ENSG00000218227",148,105,103,0,0,0,5.11876677695988e-12,"AC136632.1",312,NA
"ENSG00000255455",98,55,400,0,0,0,7.49887425560765e-12,"AP003486.1",323,NA
"ENSG00000230733",52,117,738,0,0,0,1.17901707048666e-11,"AC092171.2",331,NA
"ENSG00000272821",157,41,233,0,0,0,1.82492657359591e-11,"U62317.1",348,NA
"ENSG00000145194",49,94,131,0,0,0,2.43614536673437e-11,"ECE2",362,NA
"ENSG00000260461",75,71,89,9,6,6,2.49690578122983e-11,"AL133355.1",364,NA
"ENSG00000259623",40,88,264,0,0,0,4.07066829339975e-11,"AC125257.1",381,NA
"ENSG00000280153",327,77,98,0,0,0,5.00587583985931e-11,"AC133065.3",387,NA
"ENSG00000258199",58,85,158,5,12,10,1.38364234341966e-10,"AC073896.4",431,NA
"ENSG00000104889",175,155,114,5,8,15,3.7939032325544e-10,"RNASEH2A",481,NA
"ENSG00000204196",48,95,61,0,0,0,7.21980663262113e-10,"RPL12P16",515,NA
"ENSG00000142694",28,129,86,0,0,0,1.78544122244575e-09,"EVA1B",573,NA
