"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000163464",22593,35852,174617,15,10,18,5.97977647961004e-70,"CXCR1",1,0
"ENSG00000129226",10202,7746,19071,9,21,4,2.66620259059071e-57,"CD68",2,21118
"ENSG00000162747",17242,13249,65857,12,38,20,1.66423578989041e-56,"FCGR3B",3,-1
"ENSG00000132522",2803,2359,4581,68,49,61,2.32694145949123e-56,"GPS2",4,18211
"ENSG00000182196",1411,1954,3822,28,20,18,7.12920571359764e-56,"ARL6IP4",5,17366
"ENSG00000219200",5381,4522,18185,81,71,66,5.240043760166e-51,"RNASEK",6,379
"ENSG00000157551",2193,3880,13620,18,15,10,6.39231720298995e-46,"KCNJ15",7,-4
"ENSG00000170296",13073,11106,59136,28,69,25,3.34335906976261e-45,"GABARAP",8,10183
"ENSG00000236438",1374,898,2552,29,32,28,1.30838662272367e-43,"FAM157A",9,-5
"ENSG00000100288",1700,1460,3951,56,71,50,9.76683591597084e-43,"CHKB",10,21075
"ENSG00000169564",6643,4052,8741,175,100,110,1.28967868298751e-40,"PCBP1",11,8089
"ENSG00000185883",18059,7960,20583,124,43,91,2.86314335447427e-40,"ATP6V0C",12,18422
"ENSG00000149925",38302,32126,156046,194,207,423,5.06756104061287e-40,"ALDOA",13,4634
"ENSG00000248098",965,1411,2906,54,48,39,4.11776039371291e-39,"BCKDHA",14,14133
"ENSG00000254772",32824,21405,27044,0,0,0,1.67464174959057e-38,"EEF1G",15,NA
"ENSG00000271303",984,1482,4595,5,8,2,1.34811641898491e-37,"SRXN1",16,NA
"ENSG00000135083",1474,2252,4682,28,16,6,2.73317570846622e-35,"CCNJL",17,-10
"ENSG00000184106",473,430,1430,6,7,4,4.59286164453536e-34,"TREML3P",18,-13
"ENSG00000213999",370,369,819,18,18,19,3.10316645661535e-33,"MEF2B",19,12915
"ENSG00000216490",18229,11914,50901,95,117,19,3.10316645661535e-33,"IFI30",20,5738
"ENSG00000198858",39489,21768,59646,1938,1716,1555,1.122397067516e-32,"R3HDM4",21,-15
"ENSG00000173486",399,355,819,4,7,2,1.01287913101079e-30,"FKBP2",22,9006
"ENSG00000185900",12,4,9,5290,5619,2718,1.50424689178663e-30,"POMK",23,131
