"padj","gene","symbol","rank","rank_change"
5.97977647961004e-70,"ENSG00000163464","CXCR1",1,0
2.66620259059071e-57,"ENSG00000129226","CD68",2,21118
1.66423578989041e-56,"ENSG00000162747","FCGR3B",3,-1
2.32694145949123e-56,"ENSG00000132522","GPS2",4,18211
7.12920571359764e-56,"ENSG00000182196","ARL6IP4",5,17366
5.240043760166e-51,"ENSG00000219200","RNASEK",6,379
6.39231720298995e-46,"ENSG00000157551","KCNJ15",7,-4
3.34335906976261e-45,"ENSG00000170296","GABARAP",8,10183
1.30838662272367e-43,"ENSG00000236438","FAM157A",9,-5
9.76683591597084e-43,"ENSG00000100288","CHKB",10,21075
1.28967868298751e-40,"ENSG00000169564","PCBP1",11,8089
2.86314335447427e-40,"ENSG00000185883","ATP6V0C",12,18422
5.06756104061287e-40,"ENSG00000149925","ALDOA",13,4634
4.11776039371291e-39,"ENSG00000248098","BCKDHA",14,14133
1.67464174959057e-38,"ENSG00000254772","EEF1G",15,NA
1.34811641898491e-37,"ENSG00000271303","SRXN1",16,NA
2.73317570846622e-35,"ENSG00000135083","CCNJL",17,-10
4.59286164453536e-34,"ENSG00000184106","TREML3P",18,-13
3.10316645661535e-33,"ENSG00000213999","MEF2B",19,12915
3.10316645661535e-33,"ENSG00000216490","IFI30",20,5738
1.122397067516e-32,"ENSG00000198858","R3HDM4",21,-15
1.01287913101079e-30,"ENSG00000173486","FKBP2",22,9006
1.50424689178663e-30,"ENSG00000185900","POMK",23,131
3.04394042834588e-30,"ENSG00000148346","LCN2",24,-16
1.04608346021859e-29,"ENSG00000213977","TAX1BP3",25,23908
2.09550459812693e-29,"ENSG00000092098","RNF31",26,22764
4.28195300842486e-29,"ENSG00000278970","HEIH",27,507
1.62288213230187e-28,"ENSG00000162032","SPSB3",28,19953
6.64257821897224e-28,"ENSG00000112245","PTP4A1",29,14289
1.90640859842814e-27,"ENSG00000124614","RPS10",30,20099
1.96065328138021e-27,"ENSG00000100359","SGSM3",31,21218
7.57105508911048e-27,"ENSG00000204936","CD177",32,-22
8.56757117827755e-27,"ENSG00000157404","KIT",33,-18
9.81283496004917e-27,"ENSG00000138641","HERC3",34,25149
3.4396651561066e-26,"ENSG00000139637","MYG1",35,NA
3.48159213905348e-26,"ENSG00000055955","ITIH4",36,18536
4.34367039747175e-26,"ENSG00000113389","NPR3",37,-18
8.65748349165902e-26,"ENSG00000204435","CSNK2B",38,8560
2.10093317726798e-25,"ENSG00000243678","NME2",39,3418
2.58686986505486e-25,"ENSG00000187838","PLSCR3",40,NA
4.82513350753825e-25,"ENSG00000205307","SAP25",41,NA
6.25255207722221e-25,"ENSG00000126262","FFAR2",42,-30
8.05477315558861e-25,"ENSG00000268734","AC245128.3",43,NA
1.3506694844564e-24,"ENSG00000090238","YPEL3",44,-35
2.60553266616492e-24,"ENSG00000105583","WDR83OS",45,NA
3.09785807835395e-24,"ENSG00000115274","INO80B",46,23740
4.01393049290086e-24,"ENSG00000173535","TNFRSF10C",47,-20
5.12118992081266e-24,"ENSG00000105701","FKBP8",48,-35
2.05494861791227e-23,"ENSG00000143543","JTB",49,7923
4.93253771152917e-23,"ENSG00000272325","NUDT3",50,12005
6.28559647701204e-23,"ENSG00000205560","CPT1B",51,15044
8.84815943874536e-23,"ENSG00000108244","KRT23",52,-29
9.47669015262253e-23,"ENSG00000073578","SDHA",53,23280
9.47669015262253e-23,"ENSG00000171502","COL24A1",54,-17
9.72517962701765e-23,"ENSG00000129355","CDKN2D",55,-33
2.3539647526381e-22,"ENSG00000166333","ILK",56,23228
3.7651298248549e-22,"ENSG00000242616","GNG10",57,17209
5.4059300883761e-22,"ENSG00000099804","CDC34",58,-44
8.31226650918465e-22,"ENSG00000160408","ST6GALNAC6",59,23154
8.51481217733826e-22,"ENSG00000168802","CHTF8",60,20005
1.14507402852336e-21,"ENSG00000130429","ARPC1B",61,19632
3.39032725173101e-21,"ENSG00000244274","DBNDD2",62,24884
5.1411975683448e-21,"ENSG00000262246","CORO7",63,971
5.89375846406944e-21,"ENSG00000214736","TOMM6",64,NA
