"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000285417",6,0,12,4595,1561,2923,3.64995892850016e-15,"BX571818.1",64,NA
"ENSG00000286071",16,8,9,922,1105,1198,1.01624323861175e-12,"AL136171.2",124,NA
"ENSG00000286051",0,0,0,2418,482,6603,2.09462249737205e-12,"AC244102.3",137,NA
"ENSG00000129682",34,32,509,4,4,1,1.25842389814356e-09,"FGF13",294,NA
"ENSG00000286742",2,3,0,819,445,3285,1.54572188476268e-09,"AC000065.1",296,NA
"ENSG00000286153",7,1,16,484,872,957,2.73719526141564e-09,"AP000331.1",323,NA
"ENSG00000286616",2,1,3,306,187,289,5.67389021790771e-09,"AL008730.1",374,NA
"ENSG00000286545",3,4,2,287,237,334,7.52338565358461e-09,"AC092645.2",398,NA
"ENSG00000287195",18,7,10,1402,2177,507,7.7759990205932e-09,"AC131568.1",402,NA
"ENSG00000283208",5,6,4,331,282,439,7.84039191580694e-09,"AC001226.2",404,NA
"ENSG00000287932",0,0,0,323,121,999,3.3180691724869e-08,"AC000065.2",518,NA
"ENSG00000204389",16939,2396,3445,673,733,929,9.17285795805614e-08,"HSPA1A",600,NA
"ENSG00000260007",5,12,22,498,395,367,1.21683425081529e-07,"AC107871.1",626,NA
"ENSG00000107317",114,657,39,19,4,1,3.25545567844289e-07,"PTGDS",749,NA
"ENSG00000285692",0,0,0,93,204,135,5.86001006309143e-07,"AC023509.6",844,NA
"ENSG00000285650",1,0,0,193,195,191,6.901778237387e-07,"AL157827.2",869,NA
"ENSG00000287255",24,248,1325,40,7,5,7.84508561681024e-07,"AC007877.1",901,NA
"ENSG00000286341",6,5,6,278,622,187,7.86724090681396e-07,"AP002762.3",903,NA
"ENSG00000198892",524,57,135,42,11,18,1.08916897127773e-06,"SHISA4",954,NA
"ENSG00000287408",0,0,1,225,223,132,1.09151841734392e-06,"AC027811.1",956,NA
"ENSG00000287555",7,2,8,195,233,314,1.14198954648965e-06,"AC023424.2",962,NA
"ENSG00000286320",3,3,1,217,151,439,1.16108500970615e-06,"AC108053.1",964,NA
"ENSG00000286512",2,0,12,303,290,449,1.98850961086064e-06,"AL031768.2",1051,NA
"ENSG00000287771",20,11,285,4,0,0,2.54351422643619e-06,"AC007271.1",1103,NA
"ENSG00000288048",1,0,2,757,43,564,2.59587588185889e-06,"AC104088.3",1112,NA
