"rank_change","symbol","rank","padj","gene"
0,"CXCR1",1,3.04080744925554e-69,"ENSG00000163464"
1,"FCGR3B",2,1.10385169059242e-56,"ENSG00000162747"
4,"KCNJ15",3,3.87326622734162e-45,"ENSG00000157551"
5,"FAM157A",4,4.37623972067496e-44,"ENSG00000236438"
13,"TREML3P",5,2.64530528974085e-36,"ENSG00000184106"
15,"R3HDM4",6,3.23015686858026e-36,"ENSG00000198858"
10,"CCNJL",7,3.72010171883441e-36,"ENSG00000135083"
16,"LCN2",8,4.04758806072732e-30,"ENSG00000148346"
35,"YPEL3",9,1.55776594463e-26,"ENSG00000090238"
22,"CD177",10,4.29947429773077e-26,"ENSG00000204936"
87,"ACTN2",11,1.57554653471435e-25,"ENSG00000077522"
30,"FFAR2",12,1.80035235436414e-24,"ENSG00000126262"
35,"FKBP8",13,1.93895116871696e-24,"ENSG00000105701"
44,"CDC34",14,2.5550484999065e-24,"ENSG00000099804"
18,"KIT",15,4.73722992869262e-24,"ENSG00000157404"
49,"ADAM8",16,9.05161603144579e-24,"ENSG00000151651"
82,"MB",17,1.3040075858151e-23,"ENSG00000198125"
110,"FTH1P8",18,1.44637235781223e-23,"ENSG00000219507"
18,"NPR3",19,1.45613959887136e-22,"ENSG00000113389"
48,"SLC44A2",20,3.55852976049376e-22,"ENSG00000129353"
89,"ACTA1",21,1.42831139008443e-21,"ENSG00000143632"
33,"CDKN2D",22,2.52469218650864e-21,"ENSG00000129355"
29,"KRT23",23,3.03683435024796e-21,"ENSG00000108244"
46,"ZDHHC18",24,7.07776521063024e-21,"ENSG00000204160"
111,"ATAD5",25,7.47970872400944e-21,"ENSG00000176208"
1378,"FTH1P2",26,1.17327528951552e-19,"ENSG00000234975"
20,"TNFRSF10C",27,4.02031650658313e-19,"ENSG00000173535"
64,"ADIPOR1",28,4.36821665763782e-19,"ENSG00000159346"
59,"MMP25",29,1.56019291915055e-18,"ENSG00000008516"
65,"GZMB",30,3.00150134465551e-18,"ENSG00000100453"
63,"CXCR2",31,3.72425936113079e-18,"ENSG00000180871"
129,"MYH7",32,3.77671402761016e-18,"ENSG00000092054"
79,"UBALD2",33,3.77671402761016e-18,"ENSG00000185262"
179,"AL627309.6",34,4.1735077309404e-18,"ENSG00000268903"
81,"PI3",35,9.45414800595074e-18,"ENSG00000124102"
120,"ZBED3",36,9.98249681306327e-18,"ENSG00000132846"
17,"COL24A1",37,1.80273708247138e-17,"ENSG00000171502"
255,"TNNC1",38,2.4678428132742e-17,"ENSG00000114854"
87,"TFEC",39,2.471344778061e-17,"ENSG00000105967"
43,"OAZ1",40,2.81222061759046e-17,"ENSG00000104904"
56,"LSP1",41,2.96411986225919e-17,"ENSG00000130592"
240,"MYBPC1",42,4.47974330560356e-17,"ENSG00000196091"
89,"MARCHF2",43,5.28901740011242e-17,"ENSG00000099785"
282,"NRAP",44,1.05161226794793e-16,"ENSG00000197893"
74,"PINK1",45,1.08516544222464e-16,"ENSG00000158828"
72,"ORM1",46,1.3587211305764e-16,"ENSG00000229314"
129,"ARID5A",47,1.90391689768338e-16,"ENSG00000196843"
377,"LDB3",48,2.44835922291599e-16,"ENSG00000122367"
166,"MYL2",49,3.95255289082779e-16,"ENSG00000111245"
259,"DLK1",50,3.99414621151294e-16,"ENSG00000185559"
119,"ABTB1",51,4.03375079688372e-16,"ENSG00000114626"
81,"FTL",52,4.61528952466367e-16,"ENSG00000087086"
77,"AL035661.1",53,5.26170114961792e-16,"ENSG00000274173"
104,"ACSL1",54,6.69597170278731e-16,"ENSG00000151726"
769,"FTLP3",55,7.68827050547374e-16,"ENSG00000226608"
46,"ECM2",56,9.33627383835496e-16,"ENSG00000106823"
98,"DAPK2",57,1.32134831876471e-15,"ENSG00000035664"
49,"KIAA1549",58,1.47518473039646e-15,"ENSG00000122778"
83,"PDZK1IP1",59,2.1555957396666e-15,"ENSG00000162366"
170,"JMJD6",60,2.25483421596607e-15,"ENSG00000070495"
585,"ATP8B1",61,2.48286832992617e-15,"ENSG00000081923"
117,"BRCA2",62,2.48403888677433e-15,"ENSG00000139618"
74,"IFITM2",63,3.07134407609775e-15,"ENSG00000185201"
NA,"BX571818.1",64,3.64995892850016e-15,"ENSG00000285417"
120,"ATAD2",65,4.82723757741261e-15,"ENSG00000156802"
145,"DNAJB2",66,5.33829489553039e-15,"ENSG00000135924"
126,"PGLYRP1",67,6.0341351184115e-15,"ENSG00000008438"
110,"GPSM3",68,6.72142640782132e-15,"ENSG00000213654"
1321,"FTH1P7",69,7.55032787369419e-15,"ENSG00000232187"
79,"RNF10",70,7.68656836929742e-15,"ENSG00000022840"
63,"AGPAT5",71,7.68656836929742e-15,"ENSG00000155189"
123,"PROM1",72,9.22768745619307e-15,"ENSG00000007062"
116,"CMTM2",73,1.1882919070233e-14,"ENSG00000140932"
142,"WBP2",74,1.20084727209578e-14,"ENSG00000132471"
122,"IL1R2",75,1.35090464853578e-14,"ENSG00000115590"
