"padj","gene","symbol","rank","rank_change"
3.04080744925554e-69,"ENSG00000163464","CXCR1",1,0
1.10385169059242e-56,"ENSG00000162747","FCGR3B",2,1
3.87326622734162e-45,"ENSG00000157551","KCNJ15",3,4
4.37623972067496e-44,"ENSG00000236438","FAM157A",4,5
2.64530528974085e-36,"ENSG00000184106","TREML3P",5,13
3.23015686858026e-36,"ENSG00000198858","R3HDM4",6,15
3.72010171883441e-36,"ENSG00000135083","CCNJL",7,10
4.04758806072732e-30,"ENSG00000148346","LCN2",8,16
1.55776594463e-26,"ENSG00000090238","YPEL3",9,35
4.29947429773077e-26,"ENSG00000204936","CD177",10,22
1.57554653471435e-25,"ENSG00000077522","ACTN2",11,87
1.80035235436414e-24,"ENSG00000126262","FFAR2",12,30
1.93895116871696e-24,"ENSG00000105701","FKBP8",13,35
2.5550484999065e-24,"ENSG00000099804","CDC34",14,44
4.73722992869262e-24,"ENSG00000157404","KIT",15,18
9.05161603144579e-24,"ENSG00000151651","ADAM8",16,49
1.3040075858151e-23,"ENSG00000198125","MB",17,82
1.44637235781223e-23,"ENSG00000219507","FTH1P8",18,110
1.45613959887136e-22,"ENSG00000113389","NPR3",19,18
3.55852976049376e-22,"ENSG00000129353","SLC44A2",20,48
1.42831139008443e-21,"ENSG00000143632","ACTA1",21,89
2.52469218650864e-21,"ENSG00000129355","CDKN2D",22,33
3.03683435024796e-21,"ENSG00000108244","KRT23",23,29
7.07776521063024e-21,"ENSG00000204160","ZDHHC18",24,46
7.47970872400944e-21,"ENSG00000176208","ATAD5",25,111
1.17327528951552e-19,"ENSG00000234975","FTH1P2",26,1378
4.02031650658313e-19,"ENSG00000173535","TNFRSF10C",27,20
4.36821665763782e-19,"ENSG00000159346","ADIPOR1",28,64
1.56019291915055e-18,"ENSG00000008516","MMP25",29,59
3.00150134465551e-18,"ENSG00000100453","GZMB",30,65
3.72425936113079e-18,"ENSG00000180871","CXCR2",31,63
3.77671402761016e-18,"ENSG00000092054","MYH7",32,129
3.77671402761016e-18,"ENSG00000185262","UBALD2",33,79
4.1735077309404e-18,"ENSG00000268903","AL627309.6",34,179
9.45414800595074e-18,"ENSG00000124102","PI3",35,81
9.98249681306327e-18,"ENSG00000132846","ZBED3",36,120
1.80273708247138e-17,"ENSG00000171502","COL24A1",37,17
2.4678428132742e-17,"ENSG00000114854","TNNC1",38,255
2.471344778061e-17,"ENSG00000105967","TFEC",39,87
2.81222061759046e-17,"ENSG00000104904","OAZ1",40,43
